name,name_input,cas_number,delta_d,delta_p,delta_h,radius,type,subclass,data_type,data_reliability,confidence,source_count,source,source_url,name_iupac,name_common,name_common_all,name_acronyms,product_url,tds_url,sds_url,processing_notes,hidden
R+H PEMA,R+H PEMA,,19.0,9.0,8.0,11.0,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/R+H PEMA/property/IUPACName/JSON,PENDING|haiku: composition of R+H PEMA,PENDING|haiku: composition of R+H PEMA,PEMA,"PENDING|brave:""R+H PEMA"" manufacturer product page","PENDING|brave:""R+H PEMA"" technical data sheet filetype:pdf","PENDING|brave:""R+H PEMA"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
R+H PMAA,R+H PMAA,,25.6,11.2,19.6,20.3,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/R+H PMAA/property/IUPACName/JSON,PENDING|haiku: composition of R+H PMAA,PENDING|haiku: composition of R+H PMAA,PMAA,"PENDING|brave:""R+H PMAA"" manufacturer product page","PENDING|brave:""R+H PMAA"" technical data sheet filetype:pdf","PENDING|brave:""R+H PMAA"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
R+H PMMA,R+H PMMA,,19.1,11.3,4.1,10.3,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/R+H PMMA/property/IUPACName/JSON,PENDING|haiku: composition of R+H PMMA,PENDING|haiku: composition of R+H PMMA,PMMA,"PENDING|brave:""R+H PMMA"" manufacturer product page","PENDING|brave:""R+H PMMA"" technical data sheet filetype:pdf","PENDING|brave:""R+H PMMA"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
BMA/AN 80/20,BMA/AN 80/20,,17.5,9.9,4.1,9.5,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/BMA/AN 80/20/property/IUPACName/JSON,BMA / AN 80 / 20 copolymer,BMA / AN 80 / 20 copolymer,BMA; AN,PENDING|wikipedia:https://en.wikipedia.org/wiki/BMA/AN_80/20,,"PENDING|brave:""BMA/AN 80/20 polymer"" SDS site:sigmaaldrich.com",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|copolymer: no universal CAS,false
ISOB MALANH/CYCLOL 75/25,ISOB MALANH/CYCLOL 75/25,,16.8,-0.4,7.2,8.5,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/ISOB MALANH/CYCLOL 75/25/property/IUPACName/JSON,ISOB MALANH / CYCLOL 75 / 25 copolymer,ISOB MALANH / CYCLOL 75 / 25 copolymer,ISOB; MALANH; CYCLOL,PENDING|wikipedia:https://en.wikipedia.org/wiki/ISOB_MALANH/CYCLOL_75/25,,"PENDING|brave:""ISOB MALANH/CYCLOL 75/25 polymer"" SDS site:sigmaaldrich.com",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|copolymer: no universal CAS,false
MAA/EA/ST 15/38/47,MAA/EA/ST 15/38/47,,17.6,5.2,7.0,4.5,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/MAA/EA/ST 15/38/47/property/IUPACName/JSON,MAA / EA / ST 15 / 38 / 47 copolymer,MAA / EA / ST 15 / 38 / 47 copolymer,MAA; EA; ST,PENDING|wikipedia:https://en.wikipedia.org/wiki/MAA/EA/ST_15/38/47,,"PENDING|brave:""MAA/EA/ST 15/38/47 polymer"" SDS site:sigmaaldrich.com",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|copolymer: no universal CAS,false
MAA/MA/VA 15/27.5/57.5,MAA/MA/VA 15/27.5/57.5,,28.5,15.7,18.1,21.5,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/MAA/MA/VA 15/27.5/57.5/property/IUPACName/JSON,MAA / MA / VA 15 / 27.5 / 57.5 copolymer,MAA / MA / VA 15 / 27.5 / 57.5 copolymer,MAA; MA; VA,PENDING|wikipedia:https://en.wikipedia.org/wiki/MAA/MA/VA_15/27.5/57.5,,"PENDING|brave:""MAA/MA/VA 15/27.5/57.5 polymer"" SDS site:sigmaaldrich.com",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|copolymer: no universal CAS,false
MAA/MA/VA 15/17.5/67.5,MAA/MA/VA 15/17.5/67.5,,25.5,15.7,18.1,21.5,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/MAA/MA/VA 15/17.5/67.5/property/IUPACName/JSON,MAA / MA / VA 15 / 17.5 / 67.5 copolymer,MAA / MA / VA 15 / 17.5 / 67.5 copolymer,MAA; MA; VA,PENDING|wikipedia:https://en.wikipedia.org/wiki/MAA/MA/VA_15/17.5/67.5,,"PENDING|brave:""MAA/MA/VA 15/17.5/67.5 polymer"" SDS site:sigmaaldrich.com",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|copolymer: no universal CAS,false
MMA/CYCLOL 58/42,MMA/CYCLOL 58/42,,18.7,9.9,8.7,8.8,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/MMA/CYCLOL 58/42/property/IUPACName/JSON,MMA / CYCLOL 58 / 42 copolymer,MMA / CYCLOL 58 / 42 copolymer,MMA; CYCLOL,PENDING|wikipedia:https://en.wikipedia.org/wiki/MMA/CYCLOL_58/42,,"PENDING|brave:""MMA/CYCLOL 58/42 polymer"" SDS site:sigmaaldrich.com",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|copolymer: no universal CAS,false
MMA/EA 50/50,MMA/EA 50/50,,17.5,9.9,4.1,9.5,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/MMA/EA 50/50/property/IUPACName/JSON,MMA / EA 50 / 50 copolymer,MMA / EA 50 / 50 copolymer,MMA; EA,PENDING|wikipedia:https://en.wikipedia.org/wiki/MMA/EA_50/50,,"PENDING|brave:""MMA/EA 50/50 polymer"" SDS site:sigmaaldrich.com",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|copolymer: no universal CAS,false
MMA/EA 25/75,MMA/EA 25/75,,19.0,9.0,15.0,12.0,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/MMA/EA 25/75/property/IUPACName/JSON,MMA / EA 25 / 75 copolymer,MMA / EA 25 / 75 copolymer,MMA; EA,PENDING|wikipedia:https://en.wikipedia.org/wiki/MMA/EA_25/75,,"PENDING|brave:""MMA/EA 25/75 polymer"" SDS site:sigmaaldrich.com",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|copolymer: no universal CAS,false
MMA/EA/AGE 40/40/20,MMA/EA/AGE 40/40/20,,17.6,9.8,5.6,9.7,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/MMA/EA/AGE 40/40/20/property/IUPACName/JSON,MMA / EA / AGE 40 / 40 / 20 copolymer,MMA / EA / AGE 40 / 40 / 20 copolymer,MMA; EA; AGE,PENDING|wikipedia:https://en.wikipedia.org/wiki/MMA/EA/AGE_40/40/20,,"PENDING|brave:""MMA/EA/AGE 40/40/20 polymer"" SDS site:sigmaaldrich.com",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|copolymer: no universal CAS,false
MMA/EA/AA,MMA/EA/AA,,15.9,15.9,11.5,11.1,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/MMA/EA/AA/property/IUPACName/JSON,MMA / EA / AA copolymer,MMA / EA / AA copolymer,MMA; EA; AA,PENDING|wikipedia:https://en.wikipedia.org/wiki/MMA/EA/AA,,"PENDING|brave:""MMA/EA/AA polymer"" SDS site:sigmaaldrich.com",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|copolymer: no universal CAS,false
MMA/EA/AN 55/30/15?,MMA/EA/AN 55/30/15?,,16.7,10.9,8.5,8.5,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/MMA/EA/AN 55/30/15?/property/IUPACName/JSON,MMA / EA / AN 55 / 30 / 15? copolymer,MMA / EA / AN 55 / 30 / 15? copolymer,MMA; EA; AN,PENDING|wikipedia:https://en.wikipedia.org/wiki/MMA/EA/AN_55/30/15?,,"PENDING|brave:""MMA/EA/AN 55/30/15? polymer"" SDS site:sigmaaldrich.com",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|copolymer: no universal CAS,false
MMA/EA/AN 40/40/20,MMA/EA/AN 40/40/20,,20.4,13.2,11.0,12.3,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/MMA/EA/AN 40/40/20/property/IUPACName/JSON,MMA / EA / AN 40 / 40 / 20 copolymer,MMA / EA / AN 40 / 40 / 20 copolymer,MMA; EA; AN,PENDING|wikipedia:https://en.wikipedia.org/wiki/MMA/EA/AN_40/40/20,,"PENDING|brave:""MMA/EA/AN 40/40/20 polymer"" SDS site:sigmaaldrich.com",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|copolymer: no universal CAS,false
MMA/EA/BAMA 40/40/20,MMA/EA/BAMA 40/40/20,,17.9,8.5,11.7,12.9,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/MMA/EA/BAMA 40/40/20/property/IUPACName/JSON,MMA / EA / BAMA 40 / 40 / 20 copolymer,MMA / EA / BAMA 40 / 40 / 20 copolymer,MMA; EA; BAMA,PENDING|wikipedia:https://en.wikipedia.org/wiki/MMA/EA/BAMA_40/40/20,,"PENDING|brave:""MMA/EA/BAMA 40/40/20 polymer"" SDS site:sigmaaldrich.com",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|copolymer: no universal CAS,false
MMA/EA/CYCLOL,MMA/EA/CYCLOL,,17.6,9.8,6.4,9.8,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/MMA/EA/CYCLOL/property/IUPACName/JSON,MMA / EA / CYCLOL copolymer,MMA / EA / CYCLOL copolymer,MMA; EA; CYCLOL,PENDING|wikipedia:https://en.wikipedia.org/wiki/MMA/EA/CYCLOL,,"PENDING|brave:""MMA/EA/CYCLOL polymer"" SDS site:sigmaaldrich.com",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|copolymer: no universal CAS,false
MMA/EA/MAM 40/40/20,MMA/EA/MAM 40/40/20,,19.0,9.0,15.0,12.0,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/MMA/EA/MAM 40/40/20/property/IUPACName/JSON,MMA / EA / MAM 40 / 40 / 20 copolymer,MMA / EA / MAM 40 / 40 / 20 copolymer,MMA; EA; MAM,PENDING|wikipedia:https://en.wikipedia.org/wiki/MMA/EA/MAM_40/40/20,,"PENDING|brave:""MMA/EA/MAM 40/40/20 polymer"" SDS site:sigmaaldrich.com",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|copolymer: no universal CAS,false
MMA/EA/MAM 45/45/10?,MMA/EA/MAM 45/45/10?,,19.5,11.1,8.7,11.2,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/MMA/EA/MAM 45/45/10?/property/IUPACName/JSON,MMA / EA / MAM 45 / 45 / 10? copolymer,MMA / EA / MAM 45 / 45 / 10? copolymer,MMA; EA; MAM,PENDING|wikipedia:https://en.wikipedia.org/wiki/MMA/EA/MAM_45/45/10?,,"PENDING|brave:""MMA/EA/MAM 45/45/10? polymer"" SDS site:sigmaaldrich.com",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|copolymer: no universal CAS,false
MMA/EA/BVBE 40/40/20,MMA/EA/BVBE 40/40/20,,17.8,10.0,6.6,9.8,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/MMA/EA/BVBE 40/40/20/property/IUPACName/JSON,MMA / EA / BVBE 40 / 40 / 20 copolymer,MMA / EA / BVBE 40 / 40 / 20 copolymer,MMA; EA; BVBE,PENDING|wikipedia:https://en.wikipedia.org/wiki/MMA/EA/BVBE_40/40/20,,"PENDING|brave:""MMA/EA/BVBE 40/40/20 polymer"" SDS site:sigmaaldrich.com",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|copolymer: no universal CAS,false
ACID DEGMP,ACID DEGMP,,15.3,13.3,14.9,15.6,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/ACID DEGMP/property/IUPACName/JSON,PENDING|haiku: composition of ACID DEGMP,PENDING|haiku: composition of ACID DEGMP,ACID; DEGMP,"PENDING|brave:""ACID DEGMP"" manufacturer product page","PENDING|brave:""ACID DEGMP"" technical data sheet filetype:pdf","PENDING|brave:""ACID DEGMP"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
CARB DEG PTH,CARB DEG PTH,,19.4,13.4,11.6,11.1,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/CARB DEG PTH/property/IUPACName/JSON,PENDING|haiku: composition of CARB DEG PTH,PENDING|haiku: composition of CARB DEG PTH,CARB; DEG; PTH,"PENDING|brave:""CARB DEG PTH"" manufacturer product page","PENDING|brave:""CARB DEG PTH"" technical data sheet filetype:pdf","PENDING|brave:""CARB DEG PTH"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
CRYPLEX 1473-5,CRYPLEX 1473-5,,19.2,9.4,5.6,8.9,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/CRYPLEX 1473-5/property/IUPACName/JSON,PENDING|haiku: composition of CRYPLEX 1473-5,PENDING|haiku: composition of CRYPLEX 1473-5,,"PENDING|brave:""CRYPLEX 1473-5"" manufacturer product page","PENDING|brave:""CRYPLEX 1473-5"" technical data sheet filetype:pdf","PENDING|brave:""CRYPLEX 1473-5"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
DEG ISOPH,DEG ISOPH,,19.2,17.2,14.6,11.8,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/DEG ISOPH/property/IUPACName/JSON,PENDING|haiku: composition of DEG ISOPH,PENDING|haiku: composition of DEG ISOPH,DEG; ISOPH,"PENDING|brave:""DEG ISOPH"" manufacturer product page","PENDING|brave:""DEG ISOPH"" technical data sheet filetype:pdf","PENDING|brave:""DEG ISOPH"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
DEG PHTH,DEG PHTH,,21.0,15.2,13.2,13.7,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/DEG PHTH/property/IUPACName/JSON,PENDING|haiku: composition of DEG PHTH,PENDING|haiku: composition of DEG PHTH,DEG; PHTH,"PENDING|brave:""DEG PHTH"" manufacturer product page","PENDING|brave:""DEG PHTH"" technical data sheet filetype:pdf","PENDING|brave:""DEG PHTH"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
DPG PHTH,DPG PHTH,,20.1,11.5,6.7,11.6,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/DPG PHTH/property/IUPACName/JSON,PENDING|haiku: composition of DPG PHTH,PENDING|haiku: composition of DPG PHTH,DPG; PHTH,"PENDING|brave:""DPG PHTH"" manufacturer product page","PENDING|brave:""DPG PHTH"" technical data sheet filetype:pdf","PENDING|brave:""DPG PHTH"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
DOW ADIP TEREP,DOW ADIP TEREP,,17.8,10.4,6.8,9.3,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/DOW ADIP TEREP/property/IUPACName/JSON,PENDING|haiku: composition of DOW ADIP TEREP,PENDING|haiku: composition of DOW ADIP TEREP,DOW; ADIP; TEREP,"PENDING|brave:""DOW ADIP TEREP"" manufacturer product page","PENDING|brave:""DOW ADIP TEREP"" technical data sheet filetype:pdf","PENDING|brave:""DOW ADIP TEREP"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
DOW X-2635 MALEATE,DOW X-2635 MALEATE,,17.8,5.6,6.8,4.5,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/DOW X-2635 MALEATE/property/IUPACName/JSON,PENDING|haiku: composition of DOW X-2635 MALEATE,PENDING|haiku: composition of DOW X-2635 MALEATE,DOW,"PENDING|brave:""DOW X-2635 MALEATE"" manufacturer product page","PENDING|brave:""DOW X-2635 MALEATE"" technical data sheet filetype:pdf","PENDING|brave:""DOW X-2635 MALEATE"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
VITEL PE LINEAR,VITEL PE LINEAR,,14.9,10.1,2.9,6.1,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/VITEL PE LINEAR/property/IUPACName/JSON,PENDING|haiku: composition of VITEL PE LINEAR,PENDING|haiku: composition of VITEL PE LINEAR,VITEL; PE; LINEAR,"PENDING|brave:""VITEL PE LINEAR"" manufacturer product page","PENDING|brave:""VITEL PE LINEAR"" technical data sheet filetype:pdf","PENDING|brave:""VITEL PE LINEAR"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
VITEL PE101-X,VITEL PE101-X,,21.3,6.3,4.7,7.3,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/VITEL PE101-X/property/IUPACName/JSON,PENDING|haiku: composition of VITEL PE101-X,PENDING|haiku: composition of VITEL PE101-X,VITEL,"PENDING|brave:""VITEL PE101-X"" manufacturer product page","PENDING|brave:""VITEL PE101-X"" technical data sheet filetype:pdf","PENDING|brave:""VITEL PE101-X"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
HYD BIS A FUM ISPH,HYD BIS A FUM ISPH,,17.0,4.4,6.2,5.0,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/HYD BIS A FUM ISPH/property/IUPACName/JSON,PENDING|haiku: composition of HYD BIS A FUM ISPH,PENDING|haiku: composition of HYD BIS A FUM ISPH,HYD; BIS; FUM; ISPH,"PENDING|brave:""HYD BIS A FUM ISPH"" manufacturer product page","PENDING|brave:""HYD BIS A FUM ISPH"" technical data sheet filetype:pdf","PENDING|brave:""HYD BIS A FUM ISPH"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
HYD BIS A PG FUM ISPH,HYD BIS A PG FUM ISPH,,18.7,8.9,5.5,8.4,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/HYD BIS A PG FUM ISPH/property/IUPACName/JSON,PENDING|haiku: composition of HYD BIS A PG FUM ISPH,PENDING|haiku: composition of HYD BIS A PG FUM ISPH,HYD; BIS; PG; FUM; ISPH,"PENDING|brave:""HYD BIS A PG FUM ISPH"" manufacturer product page","PENDING|brave:""HYD BIS A PG FUM ISPH"" technical data sheet filetype:pdf","PENDING|brave:""HYD BIS A PG FUM ISPH"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
PENTA BENZ MAL,PENTA BENZ MAL,,19.4,12.2,10.2,10.8,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/PENTA BENZ MAL/property/IUPACName/JSON,PENDING|haiku: composition of PENTA BENZ MAL,PENDING|haiku: composition of PENTA BENZ MAL,PENTA; BENZ; MAL,"PENDING|brave:""PENTA BENZ MAL"" manufacturer product page","PENDING|brave:""PENTA BENZ MAL"" technical data sheet filetype:pdf","PENDING|brave:""PENTA BENZ MAL"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
SOL MYLAR 49001,SOL MYLAR 49001,,19.0,5.0,4.0,5.0,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/SOL MYLAR 49001/property/IUPACName/JSON,PENDING|haiku: composition of SOL MYLAR 49001,PENDING|haiku: composition of SOL MYLAR 49001,SOL; MYLAR,"PENDING|brave:""SOL MYLAR 49001"" manufacturer product page","PENDING|brave:""SOL MYLAR 49001"" technical data sheet filetype:pdf","PENDING|brave:""SOL MYLAR 49001"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
SOL MYLAR 49002,SOL MYLAR 49002,,19.0,5.0,5.0,5.0,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/SOL MYLAR 49002/property/IUPACName/JSON,PENDING|haiku: composition of SOL MYLAR 49002,PENDING|haiku: composition of SOL MYLAR 49002,SOL; MYLAR,"PENDING|brave:""SOL MYLAR 49002"" manufacturer product page","PENDING|brave:""SOL MYLAR 49002"" technical data sheet filetype:pdf","PENDING|brave:""SOL MYLAR 49002"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
