no,solvent_name,autonom_acd_name,dispersion,polarity,hydrogen_bonding,molar_volume
372,Ethylene Glycol Methyl t-Butyl,2-(2-Methoxy-ethoxy)-,15.3,5.1,8.2,157.4
373,Ethylene Glycol Mono-2-Ethyl Hexyl,2-(2-Ethyl-hexyloxy)-,16.0,4.1,10.5,194.7
731,Ethylene Glycol Monobenzyl Ether,2-Benzyloxy-ethanol,17.8,5.9,12.2,143.0
771,Ethylene Glycol Monoeth yl Ether,Acrylic acid 2-ethoxy-,15.9,5.1,9.3,147.7
1056,Ethylene Glycol Mono n-He xyl Ether,2-Hexyloxy-ethanol,16.0,5.0,11.4,164.5
1004,Ethylene Glycol Mono n-Prop yl Ether,2-Propoxy-ethanol,16.1,8.7,13.5,114.1
374,Ethylene Glycol Mono-t-Butyl Ether,2-tert-Butoxy-ethanol,15.3,6.1,10.8,131.0
375,Ethylene Glycol Monob utyl Ether,2-Butoxy-ethanol,16.0,5.1,12.3,131.6
376,Ethylene Glycol Monoeth yl Ether,2-Ethoxy-ethanol,16.2,9.2,14.3,97.8
377,Ethylene Glycol Monoeth yl Ether,Acetic acid 2-ethoxy-,15.9,4.7,10.6,136.1
378,Ethylene Glycol Monoisob utyl Ether,2-Isobutoxy-ethanol,15.2,4.9,9.6,132.5
379,Ethylene Glycol Monoisoprop yl Ether,2-Isopropoxy-ethanol,16.0,8.2,13.1,115.8
380,Ethylene Glycol Monometh yl Ether,2-Methoxy-ethanol,16.2,9.2,16.4,79.1
381,Ethylene Glycol Monometh yl Ether,Acetic acid 2-methoxy-,15.9,5.5,11.6,121.6
924,Ethylene Glycol Monophen yl Ether,2-Phenoxy-ethanol,17.0,7.2,12.3,125.3
789,Ethylene Glycol Sulfit,"[1,3,2]Dioxathiolane 2- oxide",20.0,15.9,5.1,75.1
382,Ethylene Methyl Sulfonate,Methanesulfonic acid 2- methanesulfonyloxy- ethyl ester,16.9,9.3,9.6,97.9
383,Ethylene Oxide,Oxirane,15.6,10.0,11.0,49.9
384,Ethylene Sulfid,Thiirane,19.3,9.0,6.5,59.5
385,Ethylenediamine,"Ethane-1,2-diamine",16.6,8.8,17.0,67.3
386,Ethyleneimine,Aziridine,18.6,9.8,7.7,51.8
946,2-Ethylhexylamine,Ethyl-hexyl-amine,15.7,4.2,6.1,163.3
387,Ethylidene Acetone,Pent-3-en-2-one,16.2,12.1,4.5,99.0
389,Ethynyl Methyl Ether,Methoxy-ethyne,15.8,8.1,6.5,70.1
388,Ethynyl Propyl Ether,1-Ethynyloxy-propane,15.4,3.8,5.4,104.1
1109,Eugenol,4-Allyl-2-methoxy- OH phenol,19.0,7.5,13.0,154.0
898,Fenchene(Alfa),"7,7-Dimethyl-2- CH3 methylene- bicyclo[2.2.1]heptane",16.9,1.5,3.1,157.3
1104,Ferulic Acid,(E)-3-(4-Hydroxy-3- OH methoxy-phenyl)- acrylic acid,19.0,6.6,15.1,155.5
877,Fluorene,9H-Fluorene,20.0,1.7,1.7,138.2
390,1-Fluoro Acrylic Acid,2-Fluoro-acrylic acid,16.0,8.7,13.0,90.0
391,1-Fluoro Acrylonitrile,2-Fluoro-acrylonitrile,14.1,15.4,5.7,88.8
827,4-Fluoro-3-Nitrobenzofluorid,"1,4-Difluoro-2-nitro",19.4,7.2,3.7,108.4
799,p-Fluoroanisole,1-Fluoro-4-methoxy-,18.7,7.3,6.7,113.2
392,Fluorobenzene,Fluoro-benzene,18.7,6.1,2.0,94.7
393,Fluoroethylene,Fluoro-ethene,15.2,7.0,1.0,57.5
394,Fluoromethane,Fluoromethane,13.4,10.6,9.5,40.7
395,Fluoroprene,"2-Fluoro-buta-1,3-diene",14.2,5.8,1.0,85.5
820,4-Fluoropropiophenone,1-(4-Fluoro-phenyl)-,19.6,7.1,3.5,138.8
396,Formaldehyde,Formaldehyde,12.8,14.4,15.4,36.8
397,Formamide,Formamide,17.2,26.2,19.0,39.8
398,Formic Acid,Formic acid,14.3,11.9,16.6,37.8
741,Formyl Fluoride,Formyl fluorid,15.0,10.1,8.6,56.5
400,N-Formyl Hexamethylene Imine,Azepane-1-carbaldehyde,18.5,10.4,7.6,127.0
401,N-Formyl Piperidine,Piperidine-1-,18.7,10.6,7.8,111.5
402,Fumaronitrile,(E)-But-2-enedinitrile,16.7,13.6,7.8,83.0
403,Furan,Furan,17.8,1.8,5.3,72.5
404,Furfural,Furan-2-carbaldehyde,18.6,14.9,5.1,83.2
405,Furfuryl Alcohol,Furan-2-yl-methanol,17.4,7.6,15.1,86.5
994,2-Furonitrile,Furan-2-carbonitrile,18.4,15.0,8.2,87.5
406,Glycerol,"Propane-1,2,3-triol",17.4,12.1,29.3,73.3
1222,Glycerol Diacetate (Isomer Mix),Acetic acid 3-acetoxy-2- hydroxy-propyl ester,16.4,8.9,14.2,149.4
990,Glycidaldehyde,Oxirane-2-carbaldehyde,17.5,13.4,9.8,63.2
1087,Glycidol,Oxiranyl-methanol,18.2,9.0,17.9,66.5
407,Glycidyl Methacrylate,2-Methyl-acrylic acid oxiranylmethyl ester,16.3,8.5,5.7,136.4
408,Glyoxal (Ethandial),Ethanedial,15.0,17.0,13.3,50.9
409,Heptane,Heptane,15.3,0.0,0.0,147.4
931,1-Heptanol,Heptan-1-ol,16.0,5.3,11.7,141.4
410,1-Heptene,Hept-1-ene,15.0,1.1,2.6,141.9
411,n-Heptyl Acetate,Acetic acid heptyl ester,15.8,2.9,5.5,181.1
706,Hexachloroacetone,"1,1,1,3,3,3-Hexachloro-",18.3,0.0,0.0,151.9
707,Hexachloroacetone,"1,1,1,3,3,3-Hexachloro-",18.3,6.6,6.4,151.9
1128,Hexachlorobenzene (Lindane),"1,2,3,4,5,6-Hexachloro-",21.9,2.1,0.0,139.3
1121,Hexachloroethane,"1,1,1,2,2,2-Hexachloro- ethane",22.0,4.7,0.0,113.2
412,Hexadecane,Hexadecane,16.3,0.0,0.0,294.1
413,"Hexafluoro 1,3-Butadien","1,1,2,3,4,4-Hexafluoro buta-1,3-diene",13.8,0.0,0.0,104.3
414,Hexafluo o Isopropanol,"1,1,1,3,3,3-Hexafluoro propan-2-ol",17.2,4.5,14.7,105.3
1119,Hexafluorobenzen,"1,2,3,4,5,6-Hexafluoro",16.9,0.0,0.0,115.8
415,Hexafluo ohexanol,"1,2,3,4,5,6-Hexafluoro hexan-1-ol",15.1,4.4,9.9,123.3
1123,Hexamethyl Benzene,"1,2,3,4,5,6-Hexamethyl-",19.2,1.6,0.0,152.7
948,Hexamethylenetetramine,"1,3,5,7-Tetraaza- tricyclo[3.3.1.1*3,7*] decane",19.4,11.6,13.8,105.3
416,Hexamethylphosphoramide,,18.5,8.6,11.3,175.7
1097,Hexanal,Hexanal,15.8,8.5,5.4,120.2
417,n-Hexane,n-Hexane,14.9,0.0,0.0,131.6
1022,Hexanoic Acid,Hexanoic acid,15.0,4.1,9.4,125.9
930,1-Hexanol,Hexan-1-ol,15.9,5.8,12.5,124.9
418,1-Hexene,Hex-1-ene,14.7,1.1,0.0,126.1
419,Hexyl Acetate,Acetic acid he xyl ester,15.8,2.9,5.9,165.0
420,Hexylene Glycol,"Hexane-1,6-diol",15.7,8.4,17.8,123.0
421,Hexylene Glycol Diacetate,Acetic acid 6-acetoxy-,15.3,4.5,7.2,204.3
422,Hydrazine,Hydrazine,14.2,8.3,8.9,32.1
423,Hydrogen Cyanide,Nitrilomethane,12.3,17.6,9.0,39.3
1173,Hydrogen Peroxide,Hydrogen peroxide,15.5,12.2,42.7,23.2
424,Hydrogen Sulfide,,17.9,6.0,10.2,36.1
905,4-Hydroxy Benzaldehyde,4-Hydroxy- OH phenyl)-acrylic acid,19.4,15.2,14.5,108.2
991,3-Hydroxy Tetrahydrofuran,Tetrahydro-furan-3-ol,18.9,9.4,16.3,80.0
425,Hydroxyethyl Acrylate,Acrylic acid 2-hydroxy- ethyl ester,16.0,13.2,13.4,114.9
960,N-(2-Hydroxyethyl)-2-Pyrrolidone,1-(2-Hydroxy-ethyl)- pyrrolidin-2-one,18.0,9.2,15.7,113.4
1078,Indene,1H-Indene,18.7,2.6,9.0,116.5
831,Indole,1H-Indole,19.8,7.5,6.5,110.1
426,"4-Iodo-1,2-Butadiene","4-Iodo-buta-1,2-diene",17.4,6.3,6.2,105.1
427,Iodobenzene,Iodo-benzene,19.5,6.0,6.1,114.4
1126,Iodoform,Triiodo-methane,20.2,3.6,10.6,98.2
428,Iodoprene,"2-Iodo-buta-1,3-diene",17.2,2.5,6.2,104.2
429,Isoamyl Acetate,Acetic acid 3-meth yl- butyl ester,15.3,3.1,7.0,148.8
754,Isoamyl Alcohol (3-Methyl-1-Butanol),3-Methyl-butan-1-ol,15.8,5.2,13.3,109.4
925,Isoamyl Propionate,Propionic acid 3-methyl- butyl ester,15.7,5.2,5.6,165.7
430,Isobutyl Acetate,Acetic acid isobutyl ester,15.1,3.7,6.3,133.5
770,Isobutyl Acrylate,Acrylic acid isob utyl ester,15.5,6.2,5.0,145.0
431,Isobutyl Alcohol,2-Methyl-propan-1-ol,15.1,5.7,15.9,92.8
1035,Isobutyl Formate,Formic acid isob utyl,15.5,6.5,6.7,117.4
432,Isobutyl Isobutyrate,Isobutyric acid isob utyl ester,15.1,2.9,5.9,163.0
786,Isobutyl Sulfoxide,2-Methyl-1-(2-methyl- propane-1-sulfi yl)- propane,16.3,10.5,6.1,195.0
433,Isobutylene,Isobutene,14.5,2.0,1.5,89.4
434,Isobutyleneoxide,"2,2-Dimethyl-oxirane",16.1,4.8,5.8,90.0
1039,Isobutyric Acid,Isobutyric acid,16.5,5.4,11.1,93.4
435,Isocyanic Acid,Imino-methanone,15.8,10.5,13.6,37.7
436,Isooctyl Alcohol,6-Methyl-heptan-1-ol,14.4,7.3,12.9,156.6
437,Isopentane,2-Methyl-butane,13.7,0.0,0.0,117.4
438,Isophorone,"3,5,5-Trimethyl-",16.6,8.2,7.4,150.5
439,"Isoprene (2-Methyl-1,3-Butadiene)","2-Methyl-buta-1,3-diene",14.7,1.4,4.1,100.9
440,Isopropyl Acetate,Acetic acid isoprop yl ester,14.9,4.5,8.2,117.1
441,Isopropyl Amine (2-Propan Amine),Isopropylamine,14.8,4.4,6.6,86.8
878,Isopropyl Benzene (Cumene),Isopropyl-benzene,18.1,1.2,1.2,139.1
442,Isopropyl Chloride (2-Chloro Propane),2-Chloro-propane,15.9,8.3,2.1,91.7
443,Isopropyl Ether,2-Isopropoxy-propane,13.7,3.9,2.3,140.9
444,Isopropyl Palmitate,Hexadecanoic acid,14.3,3.9,3.7,330.0
445,Isovaleraldehyde,3-Methyl-butyraldehyde,14.7,9.5,5.0,106.0
1040,Isovaleric Acid,3-Methyl-butyric acid,16.4,4.1,10.7,111.0
446,Isoxazole,Isoxazole,18.8,13.4,11.2,64.1
447,Ketene,Ethenone,15.4,7.3,5.8,53.0
709,Lactic Acid (DL),2-Hydroxy-propionic acid,17.0,8.3,28.4,72.1
448,Lauryl Methacrylate,2-Methyl-acrylic acid,14.4,2.2,5.1,293.1
980,Maleic Anhydride,"Furan-2,5-dione",20.2,18.1,12.6,66.3
449,Malononitrile,Malononitrile,17.7,18.4,6.7,55.5
1208,Meclofenoxate (Base Only),(4-Chloro-phenoxy)- acetic acid 2- dimethylamino-ethyl O CH3 ester,16.0,6.2,9.0,198.3
1129,Menthofuran,"3,6-Dimethyl-4,5,6,7- CH3 tetrahydro-benzofuran",17.2,4.6,5.6,158.0
1132,L-Menthol,"(1R,2S,5R)-2-Isopropyl-",16.6,4.7,10.6,175.6
1130,L-Menthone,"(2S,5R)-2-Isopropyl-5- O methyl-cyclohexanone",17.0,8.1,4.4,172.3
1131,L-Menthyl Acetate,"Acetic acid (1R,2S,5R)- cyclohexyl ester",16.8,4.7,4.9,215.8
450,Mesityl Oxide,4-Methyl-pent-3-en-2-,16.4,6.1,6.1,115.6
451,Mesitylene,Mesitylene,18.0,0.0,0.6,139.8
452,Methacrylaldehyde,2-Methyl-propenal,15.7,11.1,7.4,83.3
453,Methacrylamide,2-Methyl-acrylamide,15.8,11.0,11.6,76.0
454,Methacrylic Acid,2-Methyl-acrylic acid,15.8,2.8,10.2,84.8
455,Methacrylonitrile,2-Methyl-acrylonitrile,15.8,15.1,5.4,83.9
456,Methanol,Methanol,15.1,12.3,22.3,40.7
793,4-Methoxy Acetophenone,1-(4-Methoxy-phenyl)-,18.9,11.2,7.0,137.8
781,4-Methoxy Benzonitrile,4-Methoxy-benzonitrile butyl ester,19.4,16.7,5.4,121.0
996,2-Methoxy Tetrahydropyrane,2-Methoxy-tetrahydro- pyran,17.2,6.6,6.0,105.1
457,"1-Methoxy-1,3-Butadiene","1-Methoxy-buta-1,3- diene",15.5,8.3,5.4,101.8
992,"2-Methoxy-1,3-Dioxolane","2-Methoxy- [1,3]dioxolane",17.8,8.4,7.7,95.3
458,Methoxyhexanone (Pentoxone),4-Methoxy-4-methyl-,15.3,6.0,5.9,143.5
459,o-Methoxyphenol (Guaiacol),2-Methoxy-phenol,18.0,8.2,13.3,109.5
460,3-Methoxypropionitrile,3-Methoxy-propionitrile propyl-ammonium;,16.6,14.4,7.8,91.1
461,2-Methyl (cis) Acrylic Acid,(Z)-But-2-enoic acid,16.8,5.2,12.4,83.9
463,Methyl 1-Propenyl Ether,1-Methoxy-propene,15.0,4.3,5.7,93.5
958,N-Methyl Acetamide,N-Methyl-acetamide,16.9,18.7,13.9,76.9
464,Methyl Acetate,Acetic acid meth yl ester,15.5,7.2,7.6,79.7
1037,Methyl Aceto Acetate,3-Oxo-butyric acid methyl ester,16.4,8.6,8.9,108.3
465,Methyl Acetylene,Propyne,15.1,3.8,9.2,59.6
467,Methyl Acrylate,Acrylic acid methyl ester,15.3,6.7,9.4,90.3
468,3-Methyl Allyl Alcohol,But-2-en-1-ol,16.0,6.0,15.5,84.4
469,Methyl Allyl Cyanide,2-Methyl-but-3- enenitrile,16.4,11.3,5.1,97.7
470,Methyl Amine,Methylamine,13.0,7.3,17.3,44.4
471,Methyl Amyl Acetate,"Acetic acid 1,3- dimethyl-butyl ester",15.2,3.1,6.8,167.4
472,Methyl Benzoate,Benzoic acid meth yl,18.9,8.2,4.7,124.9
473,Methyl Bromide,Bromomethane,17.0,8.8,2.6,56.8
474,Methyl Butyl K etone,Hexan-2-one,15.3,6.1,4.1,123.6
475,Methyl Chloride,Chloromethane,15.3,6.1,3.9,55.4
476,Methyl Chloroformate,Methyl chloridocarbonate,16.3,9.5,8.5,77.3
1041,Methyl Cyanoacetate,Cyano-acetic acid methyl ester,16.8,14.8,9.1,88.3
477,Methyl Cyclohexane,Methyl-cyclohexane,16.0,0.0,1.0,128.3
478,3-Methyl Cyclohexanone,3-Methyl-,17.7,6.3,4.7,122.5
479,2-Methyl Cyclohexanone,2-Methyl-,17.6,6.3,4.7,121.3
480,Methyl Ethyl Ether,Methoxy-ethane,14.7,4.9,6.2,84.1
481,Methyl Ethyl Ketone,Butan-2-one,16.0,9.0,5.1,90.1
482,Methyl Ethyl Ketoxime,Butan-2-one oxime,14.7,4.9,7.8,94.8
965,N-Methyl Formamide,N-Methyl-formamide,17.4,18.8,15.9,59.1
483,Methyl Formate,Formic acid methyl ester,15.3,8.4,10.2,62.2
995,2-Methylfuran,2-Methyl-furan,17.3,2.8,7.4,89.7
998,Methyl Furoate,Furan-2-carboxylic acid methyl ester,17.4,6.9,9.7,107.0
484,Methyl Glyoxal,2-Oxo-propionaldehyde,15.5,16.1,9.7,68.9
485,Methyl Hydrazine,Methyl-hydrazine,16.2,8.7,14.8,52.7
486,Methyl Hydroperoxide,Methyl-hydroperoxide,15.0,15.0,30.0,24.1
487,1-Methyl Imidazole,1-Methyl-1H-imidazole,19.7,15.6,11.2,79.5
488,Methyl Iodide,Iodomethane,17.5,7.7,5.3,62.3
489,Methyl Isoamyl K etone,5-Methyl-hexan-2-one,16.0,5.7,4.1,142.8
490,Methyl Isobutyl Carbinol,4-Methyl-pentan-2-ol,15.4,3.3,12.3,127.2
491,Methyl Isobutyl Ketone,4-Methyl-pentan-2-one,15.3,6.1,4.1,125.8
492,Methyl Isocyanate,Isocyanatomethane,15.6,7.3,2.5,61.8
493,Methyl Isopropenyl Ketone,3-Methyl-but-3-en-2-,15.9,12.1,4.5,99.3
494,Methyl Isothiocyanate,Isothiocyanatomethane,17.3,16.2,10.1,68.4
495,3-Methyl Isoxazole,3-Methyl-isoxazole,19.4,14.8,11.8,57.7
496,Methyl Mercaptan,Methanethiol,16.6,7.7,8.6,54.1
497,Methyl Methacrylate,2-Methyl-acrylic acid methyl ester,15.8,6.5,5.4,106.1
1106,N-Methyl Morpholine-N-Oxide,4-Methyl-morpholine 4-,19.0,16.1,10.2,97.6
498,Methyl n-Amyl K etone,Heptan-2-one,16.2,5.7,4.1,139.8
499,Methyl n-Propyl Ketone,Pentan-2-one,16.0,7.6,4.7,106.7
500,1-Methyl Naphthalene,1-Methyl-naphthalene,20.6,0.8,4.7,138.8
501,Methyl Nitrate,Nitrooxymethane,15.8,14.0,4.8,63.8
502,Methyl Oleate,(Z)-Octadec-9-enoic H3C acid methyl ester,14.5,3.9,3.7,340.0
879,Methyl Phenyl Sulfid,Methylsulfanyl-benzene,19.6,4.8,4.7,117.4
1076,Methyl Phenyl Sulfone,Methanesulfonyl-,20.0,16.9,7.8,124.6
841,Methyl Phosphonic Difluorid,Methylphosphonic difluorid,14.0,14.0,8.4,73.9
503,Methyl Propionate,Propionic acid meth yl ester,15.5,6.5,7.7,96.8
902,2-Methyl Pyrazine,2-Methyl-pyrazine,18.3,12.3,10.5,91.4
986,N-Methyl Pyrrolidine,1-Methyl-pyrrolidine,17.0,2.8,6.9,104.0
504,Methyl Salicylate,2-Hydroxy-benzoic acid,18.1,8.0,13.9,129.6
740,Methyl Silane,Methyl-silane,15.5,3.3,0.0,71.0
886,alfa-Methyl Styrene,1-Methyl-2-vinyl-,18.5,2.4,2.4,130.0
506,Methyl Sulfolane,"3-Methyl-tetrahydro- thiophene 1,1-dioxide",19.4,17.4,5.3,112.7
997,2-Methyl Tetrahydrofuran,2-Methyl-tetrahydro- furan,16.9,5.0,4.3,100.2
507,Methyl Thiocyanate,Thiocyanatomethane,17.3,15.0,6.0,68.5
968,Methyl Thiocyanate,Thiocyanatomethane,17.4,15.0,8.7,68.5
508,Methyl Vinyl Ether,Methoxy-ethene,14.9,5.3,6.3,75.2
509,Methyl Vinyl Ketone,But-3-en-2-one,15.6,12.5,5.0,81.2
510,1-Methyl Vinyl Methyl Ether,2-Methoxy-propene,14.8,4.2,5.6,96.1
511,Methyl Vinyl Sulfid,Methylsulfanyl-ethene,16.4,4.9,6.0,82.1
512,Methyl Vinyl Sulfone,Methylsulfonyl-ethene,16.8,19.6,4.8,87.6
462,2-Methyl-1-Butanol,2-Methyl-butan-1-ol,16.0,5.1,14.3,109.5
513,3-Methyl-1-Butene,3-Methyl-but-1-ene,14.0,1.4,3.8,112.9
514,2-Methyl-1-Butene,2-Methyl-but-1-ene,14.2,1.8,2.3,108.7
515,2-Methyl-1-Chloro Acrolein,2-Chloro-but-2-enal,17.1,10.6,7.3,91.7
516,2-Methyl-1-Propanol,2-Methyl-propan-1-ol,15.1,5.7,15.9,92.8
517,Methyl-1-Propynyl Ether,1-Methoxy-propyne,15.7,6.3,5.9,85.4
518,"3-Methyl-1,2-Butadiene","3-Methyl-buta-1,2-diene",15.1,2.5,4.5,99.7
519,"2-Methyl-1,3-Dioxolane","2-Methyl-[1,3]dioxolane",17.3,4.8,5.8,89.8
732,2-Methyl-2-Butanol,2-Methyl-butan-2-ol,15.3,6.1,13.3,109.6
520,2-Methyl-2-Butene,2-Methyl-but-2-ene,14.3,2.0,3.9,106.7
521,N-Methyl-2-Pyrrolidone,1-Methyl-pyrrolidin-2- CH3 3-methyl-butyl ester,18.0,12.3,7.2,96.5
972,Methyl-4-Toluenesulfonate,Toluene-4-sulfonic acid,19.6,15.3,3.8,152.6
796,Methyl-p-Toluate,4-Methyl-benzoic acid,19.0,6.5,3.8,140.4
522,Methyl-t-Butyl Ether,2-Methoxy-2-methyl- propane,14.8,4.3,5.0,119.8
523,Methylal (Dimethoxymethane),Dimethoxy-methane benzene,15.0,1.8,8.6,169.4
951,N-Methylaniline,Methyl-phenyl-amine,19.5,6.0,11.5,108.4
524,Methylene Dichloride,Dichloro-methane,18.2,6.3,6.1,63.9
525,Methylene Diiodide,Diiodo-methane,17.8,3.9,5.5,80.5
888,"1,2-Methylenedioxybenzene","Benzo[1,3]dioxole",19.0,6.7,5.9,114.8
526,Morpholine,Morpholine,18.8,4.9,9.2,87.1
1193,Morpholine/Acetic Acid,Acetate morpholin-4- 17.2 20.3 18.4 ium;,17.2,20.3,18.4,
844,"N,N,N,N-Tetramethylthiourea",Tetramethyl-thiourea,17.3,6.0,10.5,132.2
529,Naphtha.High-Flash,,17.9,0.7,1.8,181.8
530,Naphthalene,Naphthalene,19.2,2.0,5.9,111.5
896,1-Naphthol,Naphthalen-1-ol,19.7,6.3,12.3,131.7
1198,Nicotine,3-((S)-1-Methyl- N pyridine,18.5,7.8,6.5,160.7
784,p-Nitro Toluene,1-Methyl-4-nitro-,20.1,9.6,3.9,98.5
939,3-Nitroaniline,3-Nitro-phenylamine,21.2,18.7,10.3,96.1
531,Nitrobenzene,Nitro-benzene,20.0,8.6,4.1,102.7
973,4-Nitrochlorobenzene,1-Chloro-4-nitro-,20.0,8.8,3.9,121.2
532,Nitroethane,Nitro-ethane,16.0,15.5,4.5,71.5
533,Nitroethylene,Nitro-ethene,16.3,16.6,5.0,59.9
1112,Nitroglycerin (Glyceryl Trinitrate),"1,2,3-Tris-nitrooxy- propane",16.2,17.8,5.9,142.5
534,Nitromethane,Nitromethane,15.8,18.8,5.1,54.3
936,4-Nitrophenol,4-Nitro-phenol,20.4,20.9,15.1,93.1
535,1-Nitropropane,1-Nitro-propane,16.6,12.3,5.5,88.4
536,2-Nitropropane,2-Nitro-propane,16.2,12.1,4.1,86.9
1073,Nitrosobenzene,Nitroso-benzene,20.0,12.7,4.0,89.3
984,2-Nitrothiophene,2-Nitro-thiophene,19.7,16.2,8.2,94.6
537,Nonane,Nonane,15.7,0.0,0.0,179.7
932,1-Nonanol,Nonan-1-ol,16.0,4.8,10.6,174.4
538,Nonyl Phenol,4-Nonyl-phenol,16.5,4.1,9.2,231.0
539,Nonyl Phenoxy Ethanol,2-(4-Nonyl-phenoxy)- ethanol,16.7,10.2,8.4,275.0
1209,Norephedrin,2-Methylamino-1-,18.0,10.7,24.1,141.9
923,Octadecane,Octadecane,16.4,0.0,0.0,326.9
540,Octane,Octane,15.5,0.0,0.0,163.5
541,Octanoic Acid,Octanoic acid,15.1,3.3,8.2,159.0
542,1-Octanol,Octan-1-ol,16.0,5.0,11.9,157.7
543,2-Octanol,Octan-2-ol,16.1,4.9,11.0,159.1
544,1-Octene,Oct-1-ene,15.3,1.0,2.4,158.0
1065,Octyl Acetate,Acetic acid octyl ester,15.8,2.9,5.1,196.0
545,Oleic Acid,(Z)-Octadec-9-enoic,16.0,2.8,6.2,317.0
546,Oleyl Alcohol,(Z)-Octadec-9-en-1-ol,14.3,2.6,8.0,316.0
1156,Oxalic Acid,Oxalic acid,17.0,14.3,22.0,47.4
547,Oxalylchloride,Oxalyl dichloride,16.1,3.8,7.5,85.8
1026,Oxetane (Trimethylene Oxide),Oxetane yl)-acetamide,18.0,9.1,5.4,65.0
1169,Ozone,,19.8,4.2,0.0,24.0
1211,Paracetamol,N-(4-Hydroxy-phenyl)- acetamide,17.8,10.5,13.9,151.2
978,Paraldehyde,"2,4,6-Trimethyl- CH3 [1,3,5]trioxane",16.6,7.5,7.3,132.4
1114,"Paraquat 1,1'-Dimethyl-4,4'-",bipyridinium dichloride,19.5,8.8,5.9,205.7
1161,Pentachloro Ethane,"1,1,1,2,2-Pentachloro- ethane",18.2,3.2,2.4,120.9
818,Pentachlorocyclopropane,"1,1,2,2,3-Pentachloro- Cl cyclopropane",18.5,10.5,3.7,128.5
788,Pentachlorophenol,"2,3,4,5,6-Pentachloro- OH phenol",21.5,6.9,12.8,134.7
548,"1,3-Pentadiene (Trans)","(E)-Penta-1,3-diene",14.7,2.5,5.0,101.7
821,Pentafluorobenzophenon,1-Pentafluorophe yl-,19.3,8.1,5.4,185.5
549,Pentamethylene Sulfid,Tetrahydro-thiopyran,18.5,6.3,8.9,103.6
1061,Pentanal (Valeraldehyde),Pentanal,15.7,9.4,5.8,106.4
550,Pentane,Pentane,14.5,0.0,0.0,116.2
551,"2,4-Pentanedione","Pentane-2,4-dione",17.1,9.0,4.1,103.1
1023,Pentanoic Acid,Pentanoic acid,15.0,4.1,10.3,109.2
552,1-Pentanol,Pentan-1-ol,15.9,5.9,13.9,108.6
733,2-Pentanol,Pentan-2-ol,15.6,6.4,13.3,109.6
553,4-Pentenal,Pent-4-enal,15.5,8.1,6.8,98.7
554,1-Pentene,Pent-1-ene,13.9,1.4,3.8,110.4
1005,n-Pentyl Propionate,Propionic acid pentyl ester,15.8,5.2,5.7,165.3
556,Perfluoro Dimet ylcyclohexane,"1,1,2,2,3,4,4,5,5,6- Decafluoro-3,6-bis trifluoromet yl-",12.4,0.0,0.0,217.4
555,Perfluoro Ethylene (Tetrafluoro Ethylene),"1,1,2,2-Tetrafluoro ethene",15.1,0.0,0.0,65.8
557,Perfluoroheptane,"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-Hexadecafluoro heptane",12.0,0.0,0.0,227.3
558,Perfluoromet ylcyclohexane,"1,1,2,2,3,3,4,4,5,5,6- Undecafluoro-6 trifluoromet yl- F cyclohexane",12.4,0.0,0.0,196.0
975,"9,10-Phenanthrenequinone","Phenanthrene-9,10-",20.3,17.1,4.8,148.2
880,Phenetole (Ethyl Phenyl Ether),Ethoxy-benzene,18.4,4.5,4.0,127.3
559,Phenol,Phenol,18.0,5.9,14.9,87.5
1100,Bisphenol A,4-[1-(4- methylethyl]phenol,19.2,5.9,13.8,207.5
1155,Bisphenol-S,4-[(4- yl]phenol,20.0,14.6,16.3,183.2
560,2-Phenoxy Ethanol,2-Phenoxy-ethanol,17.8,5.7,14.3,124.7
561,Bis-(m-Phenoxyphenyl) Ether,1-Phenoxy-3-(3- phenoxyphenoxy)benz,19.6,3.1,5.1,373.0
881,Phenyl Acetate,Acetic acid phen yl ester,19.8,5.2,6.4,126.9
851,Phenyl Acetonitrile,Phenyl-acetonitrile,19.5,12.3,3.8,114.9
1168,Phenyl Acetylene,Ethynyl-benzene,18.8,2.8,4.0,109.1
1047,Phenylhydrazine,Phenyl-hydrazine,20.4,6.5,14.0,98.5
562,Phosgene,Carbonyl dichloride,16.4,5.3,5.3,71.7
1216,Phosphoric Acid,Phosphoric acid,14.7,18.6,26.8,52.8
1171,Phosphorous Oxychloride (Phosphoryl,Phosphoric trichloride,18.1,9.3,0.0,93.2
563,Phosphorus Trichloride,Phosphorous trichloride,18.4,3.6,0.0,87.3
564,Phthalic Anhydride,"Isobenzofuran-1,3-dione",20.6,20.1,10.1,96.8
1089,"Picric Acid (2,4,6-Trinitrophenol)",Picric acid,19.2,7.0,6.0,130.0
565,Pine Oil,,15.6,3.0,9.8,155.0
900,2-Pinene (dl),"(1S,5S)-2,6,6-Trimethyl- bicyclo[3.1.1]hept-2-",16.9,1.8,3.1,159.5
1052,Piperazine,Piperazine,18.1,5.6,8.0,97.9
1050,Piperidine,Piperidine,17.6,4.5,8.9,98.9
566,"1,2-Propadiene (Allene)","Propa-1,2-diene",15.3,3.0,6.8,60.1
1064,Propane,Propane,13.4,0.0,0.0,89.5
943,"1,3-Propane Sultone","[1,2]Oxathiolane 2,2- dioxide",18.4,16.0,9.0,87.7
567,2-Propanethiol,Propane-2-thiol,16.3,6.8,6.5,94.1
