name,name_input,cas_number,delta_d,delta_p,delta_h,radius,type,subclass,data_type,data_reliability,confidence,source_count,source,source_url,name_iupac,name_common,name_common_all,name_acronyms,product_url,tds_url,sds_url,processing_notes,hidden
CH 5200 3 HR,CH 5200 3 HR,,16.6,6.0,4.8,3.7,Elastomer,,permeation,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,CH 5200 3 HR,CH 5200 3 HR,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PVDC (110C) SOLUBILITY,PVDC (110C) SOLUBILITY,,17.6,9.1,7.8,3.9,Vinyl Polymer,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PVDC (110C) SOLUBILITY,PVDC (110C) SOLUBILITY,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PVDC (130C) SOLUBILITY,PVDC (130C) SOLUBILITY,,20.4,10.0,10.2,7.6,Vinyl Polymer,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PVDC (130C) SOLUBILITY,PVDC (130C) SOLUBILITY,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PES L C=1,PES L C=1,,18.7,10.5,7.6,9.1,Polysulfone / PES / PPS,,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PES L C=1,PES L C=1,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PES L B + C =1,PES L B + C =1,,17.7,9.7,6.4,9.3,Polysulfone / PES / PPS,,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PES L B + C =1,PES L B + C =1,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PPS CR 93°C,PPS CR 93°C,,18.8,4.8,6.8,2.8,Polysulfone / PES / PPS,,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PPS CR 93°C,PPS CR 93°C,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PPS TS60%12MO,PPS TS60%12MO,,18.7,5.3,3.7,6.7,Polysulfone / PES / PPS,,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PPS TS60%12MO,PPS TS60%12MO,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PA6 CR,PA6 CR,,17.0,3.4,10.6,5.1,Polyamide,,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PA6 CR,PA6 CR,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PA66 SOL,PA66 SOL,,17.4,9.8,14.6,5.1,Polyamide,,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PA66 SOL,PA66 SOL,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PA11 CR,PA11 CR,,17.0,4.4,10.6,5.1,Polyamide,,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PA11 CR,PA11 CR,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
POMH+POMC CR,POMH+POMC CR,,17.1,3.1,10.7,5.2,Polyacetal / PEI / PC,Polyacetal,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,POMH+POMC CR,POMH+POMC CR,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PETP CR,PETP CR,,18.2,6.4,6.6,5.0,Polyester & Alkyd,Saturated Polyester,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PETP CR,PETP CR,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PTFE L80 CR,PTFE L80 CR,,16.2,1.8,3.4,3.9,Fluoropolymer,,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PTFE L80 CR,PTFE L80 CR,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PMMA CR,PMMA CR,,16.0,5.0,12.0,13.0,Acrylic,,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PMMA CR,PMMA CR,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PE CR QUESTIONABLE VALUES,PE? CR QUESTIONABLE VALUES,,16.8,5.4,2.4,4.7,Polyolefin,,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PE CR QUESTIONABLE VALUES,PE CR QUESTIONABLE VALUES,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PPO CR,PPO CR,,17.9,3.1,8.5,8.6,Polyacetal / PEI / PC,,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PPO CR,PPO CR,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PUR CR,PUR CR,,18.1,9.3,4.5,9.7,Polyurethane,,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PUR CR,PUR CR,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
ABS CR,ABS CR,,16.3,2.7,7.1,7.8,Styrenic,,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,ABS CR,ABS CR,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PSU CR,PSU CR,,16.0,6.0,6.6,9.0,Polysulfone / PES / PPS,,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PSU CR,PSU CR,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
VINYL SILANE,VINYL SILANE,7291-09-0,16.4,3.7,4.5,10.0,Biological & Other,,swelling,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VINYL SILANE,VINYL SILANE,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
CELLOPHAN SW,CELLOPHAN SW,,16.1,18.5,14.5,9.3,Cellulosic Polymer,,swelling,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,CELLOPHAN SW,CELLOPHAN SW,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
EVOH SOL,EVOH SOL,,20.5,10.5,12.3,7.3,Vinyl Polymer,,swelling,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,EVOH SOL,EVOH SOL,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
SARANEX 4HR,SARANEX 4HR,,17.7,18.3,0.7,18.4,Vinyl Polymer,PVDC,breakthrough_time,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,SARANEX 4HR,SARANEX 4HR,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
4H 35°C,4H 35°C,,19.4,13.4,18.0,8.6,Biological & Other,,breakthrough_time,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,4H 35°C,4H 35°C,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
4H 35°C no plasticizer included,4H 35°C no plasticizer included,,20.5,11.3,10.3,6.7,Biological & Other,,breakthrough_time,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,4H 35°C no plasticizer included,4H 35°C no plasticizer included,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
POLYVINYLALCOHOL,POLYVINYLALCOHOL,,15.0,17.2,17.8,10.2,Vinyl Polymer,,breakthrough_time,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,POLYVINYLALCOHOL,POLYVINYLALCOHOL,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
ACETAL CELANESE,ACETAL CELANESE,,21.1,9.3,5.9,11.4,Polyacetal / PEI / PC,Polyacetal,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,ACETAL CELANESE,ACETAL CELANESE,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
ACETALHOMO-DUO,ACETALHOMO-DUO,,19.0,5.0,8.0,5.0,Polyacetal / PEI / PC,Polyacetal,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,ACETALHOMO-DUO,ACETALHOMO-DUO,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
CELLULOSE ACETATE,CELLULOSE ACETATE,,16.9,16.3,3.7,13.7,Cellulosic Polymer,,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,CELLULOSE ACETATE,CELLULOSE ACETATE,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
CELL. ACET. BUTYRATE,CELL. ACET. BUTYRATE,,17.2,13.8,2.8,12.6,Cellulosic Polymer,,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,CELL. ACET. BUTYRATE,CELL. ACET. BUTYRATE,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
CELL. ACET. PROPIONATE,CELL. ACET. PROPIONATE,,9.8,13.6,11.4,15.2,Cellulosic Polymer,,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,CELL. ACET. PROPIONATE,CELL. ACET. PROPIONATE,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PCTFE,PCTFE,,14.1,2.7,5.5,6.6,Fluoropolymer,,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PCTFE,PCTFE,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
FEP,FEP,,19.0,4.0,3.0,4.0,Fluoropolymer,,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,FEP,FEP,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
FURAN,FURAN,110-00-9,19.0,6.0,8.0,5.0,Phenolic Resin,Furan Resin,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,FURAN,FURAN,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
FURF ALC,FURF ALC,,19.9,3.9,5.1,3.8,Phenolic Resin,Furan Resin,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,FURF ALC,FURF ALC,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PFA(),PFA(?),,16.7,7.7,-0.5,8.1,Fluoropolymer,,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PFA(),PFA(),,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PHENOLIC,PHENOLIC,,21.6,5.2,18.8,15.4,Phenolic Resin,,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PHENOLIC,PHENOLIC,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PETG,PETG,63407-54-5,18.0,3.0,4.0,6.0,Polyester & Alkyd,Saturated Polyester,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,"Poly(ethylene terephthalate-co-1,4-cyclohexanedimethanol terephthalate)",PETG,PETG; polyethylene terephthalate glycol; PETG copolyester,PETG,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
HDPE,HDPE,,18.0,0.0,2.0,2.0,Polyolefin,,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,"Polyethylene, high density",high-density polyethylene,high-density polyethylene; HDPE,HDPE,https://pubchem.ncbi.nlm.nih.gov/compound/9795,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PP,PP,,18.0,0.0,1.0,6.0,Polyolefin,Polypropylene,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Polypropylene,polypropylene,polypropylene,PP,https://pubchem.ncbi.nlm.nih.gov/compound/9857,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PECTFE SOL AT HIGH TEMP.,PECTFE SOL AT HIGH TEMP.,,19.5,7.3,1.7,5.1,Fluoropolymer,,solubility,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PECTFE SOL AT HIGH TEMP.,PECTFE SOL AT HIGH TEMP.,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PAN,PAN,,21.7,14.1,9.1,10.9,Acrylic,PAN,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Polyacrylonitrile,PAN,PAN; polyacrylonitrile,PAN,https://pubchem.ncbi.nlm.nih.gov/compound/9904,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PEI 1200PSI,PEI 1200PSI,,17.2,6.4,5.2,3.6,Polyacetal / PEI / PC,PEI,esc,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PEI 1200PSI,PEI 1200PSI,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PEI 2400PSI,PEI 2400PSI,,17.4,4.6,9.0,7.2,Polyacetal / PEI / PC,PEI,esc,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PEI 2400PSI,PEI 2400PSI,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PEI 600PSI,PEI 600PSI,,17.3,5.3,4.7,3.3,Polyacetal / PEI / PC,PEI,esc,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PEI 600PSI,PEI 600PSI,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
ESTER GUM,ESTER GUM,,16.9,4.5,6.5,9.2,Cellulosic Polymer,,estimated,low,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,ESTER GUM,ESTER GUM,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
ALKYD 45 SOYA,ALKYD 45 SOYA,,17.5,2.3,7.7,10.0,Polyester & Alkyd,Alkyd,estimated,low,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,ALKYD 45 SOYA,ALKYD 45 SOYA,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
SILICONE DC-1107,SILICONE DC-1107?,,19.6,3.4,10.8,9.8,Elastomer,Silicone,estimated,low,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,SILICONE DC-1107,SILICONE DC-1107,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PVETHYLETHER,PVETHYLETHER?,,15.1,3.1,11.9,12.9,Vinyl Polymer,Polyvinyl ethyl ether,estimated,low,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PVETHYLETHER,PVETHYLETHER,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PBUTYLACRYLATE,PBUTYLACRYLATE,,16.2,9.0,3.0,10.1,Acrylic,,estimated,low,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PBUTYLACRYLATE,PBUTYLACRYLATE,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PBMA,PBMA?,,15.9,5.5,5.9,8.5,Acrylic,PBMA,estimated,low,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Poly(butyl methacrylate),PBMA,PBMA,PBMA,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
SILICONE DC 23,SILICONE DC 23?,,16.4,0.0,7.8,5.5,Elastomer,Silicone,estimated,low,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,SILICONE DC 23,SILICONE DC 23,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PE,PE,,16.0,0.8,2.8,3.2,Polyolefin,,estimated,low,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Polyethylene,polyethylene,polyethylene; PE,PE,https://pubchem.ncbi.nlm.nih.gov/compound/9795,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
GILSONITE,GILSONITE,,17.1,2.1,3.9,4.9,Natural & Petroleum Resin,Bituminous resin,estimated,low,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Uintaite,gilsonite,natural asphalt; uintaite,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PVINYLBUTYLETHER,PVINYLBUTYLETHER,,17.4,3.4,7.8,8.4,Vinyl Polymer,PVE,estimated,low,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PVINYLBUTYLETHER,PVINYLBUTYLETHER,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
NAT RUBBER,NAT RUBBER,,16.0,4.0,6.0,1.3,Elastomer,Natural rubber,estimated,low,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,"Polyisoprene, natural",natural rubber,NR; natural rubber,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
HYP 20 CHLOROSULFONATED PE,HYP 20 CHLOROSULFONATED PE,,17.4,3.2,4.0,4.8,Elastomer,Chlorinated/Halogenated Rubber,estimated,low,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,HYP 20 CHLOROSULFONATED PE,HYP 20 CHLOROSULFONATED PE,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
ETHCEL N22,ETHCEL N22?,,22.7,0.5,16.5,20.1,Cellulosic Polymer,,estimated,low,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,ETHCEL N22,ETHCEL N22,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
CHLORINATED RUBBER,CHLORINATED RUBBER,,17.9,6.3,5.1,7.6,Elastomer,,estimated,low,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,CHLORINATED RUBBER,CHLORINATED RUBBER,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
DAMMAR GUM,DAMMAR GUM,,18.4,4.2,7.8,8.3,Natural & Petroleum Resin,Dammar,estimated,low,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Dammar resin,dammar,dammar varnish; dammer resin,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
Versamid 100,VERSAMID 100?,,18.8,3.0,9.2,7.8,Polyamide,Dimer acid polyamide,estimated,low,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Dimer acid-based polyamide,polyamide resin,dimer acid polyamide; reactive polyamide,PA,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PS,PS,,18.5,4.5,2.9,5.3,Styrenic,Polystyrene,estimated,low,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Polystyrene,polystyrene,polystyrene; styrofoam,PS,https://pubchem.ncbi.nlm.nih.gov/compound/6353,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PVAC,PVAC,,17.6,2.2,4.0,4.1,Vinyl Polymer,,estimated,low,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Poly(vinyl acetate),PVAc,PVAc; polyvinyl acetate,PVAC,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PVC,PVC,,17.6,7.8,3.4,8.2,Vinyl Polymer,,estimated,low,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Poly(vinyl chloride),polyvinyl chloride,polyvinyl chloride; vinyl plastic; PVC,PVC,https://pubchem.ncbi.nlm.nih.gov/compound/6338,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PHENOLICS,PHENOLICS,,19.8,7.2,10.8,12.8,Phenolic Resin,,estimated,low,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PHENOLICS,PHENOLICS,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
BUNA N BUTADIENE/ACRYLONITRILE,BUNA N BUTADIENE/ACRYLONITRILE,,17.8,3.2,3.4,3.7,Elastomer,,estimated,low,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,BUNA N BUTADIENE/ACRYLONITRILE,BUNA N BUTADIENE/ACRYLONITRILE,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PMMA,PMMA,,18.1,10.5,5.1,9.5,Acrylic,,estimated,low,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Poly(methyl methacrylate),acrylic glass,acrylic glass; acrylic; plexiglass; perspex,PMMA,https://pubchem.ncbi.nlm.nih.gov/compound/6328,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PEO 4000 HEATED SAMPLES,PEO 4000 ? HEATED SAMPLES,,21.5,10.9,13.1,15.9,Polyolefin,PEO,estimated,low,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PEO 4000 HEATED SAMPLES,PEO 4000 HEATED SAMPLES,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
POLYETHYLENESULFIDE,POLYETHYLENESULFIDE (GOOD),,17.8,3.8,2.2,4.1,Polyolefin,,estimated,low,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,POLYETHYLENESULFIDE,GOOD,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PC,PC,,18.1,5.9,6.9,5.5,Polyacetal / PEI / PC,Polycarbonate,estimated,low,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Polycarbonate,polycarbonate,polycarbonate; PC; Makrolon; Lexan,PC,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PLIOLITE P1230,PLIOLITE P1230,,18.1,4.7,3.7,3.9,Natural & Petroleum Resin,,estimated,low,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PLIOLITE P1230,PLIOLITE P1230,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
MYLAR PET,MYLAR PET,,18.0,6.2,6.2,5.0,Polyester & Alkyd,Saturated Polyester,estimated,low,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,MYLAR PET,MYLAR PET,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
